District,Lat,Lon,Price,Cluster,ClusterName,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
Langenhorn,53.6633,10.0083,12.27,4,Food & Drink,Bakery,Football Stadium,Business Service,Gym / Fitness Center,Farm,Fried Chicken Joint,French Restaurant,Food Court,Food & Drink Shop,Food
Lemsahl-Mellingstedt,53.6811,10.0867,13.14,4,Food & Drink,Medical Supply Store,Zoo Exhibit,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Football Stadium,Food Court,Food & Drink Shop,Food,Flower Shop
Lohbrügge,53.5063478,10.2086426,10.71,1,Supermarkets,Electronics Store,Hotel,Photography Studio,Supermarket,Bus Stop,Zoo Exhibit,Fish Market,Farmers Market,Fast Food Restaurant,Fish & Chips Shop
Lokstedt,53.6023971,9.9566624,13.54,1,Supermarkets,Supermarket,Café,Fast Food Restaurant,Hotel,Italian Restaurant,Bakery,Pharmacy,Park,Zoo Exhibit,Farmers Market
Lurup,53.5929519,9.874564,10.54,4,Food & Drink,Restaurant,Bank,Shopping Mall,Food & Drink Shop,Bus Stop,Gastropub,Asian Restaurant,Taverna,Supermarket,German Restaurant
Marienthal,53.5651302,10.0823813,14.97,4,Food & Drink,Hotel,Supermarket,Outdoor Sculpture,Garden,Pharmacy,Bakery,Bus Stop,Park,Fish Market,Farmers Market
Marmstorf,53.4394131,9.9520526,10.41,4,Food & Drink,Food & Drink Shop,Pharmacy,Bus Stop,Shipping Store,Coffee Shop,Zoo Exhibit,Falafel Restaurant,Football Stadium,Food Court,Food
Moorfleet,53.5092,10.0828,,4,Food & Drink,Intersection,Flower Shop,Fast Food Restaurant,Furniture / Home Store,Zoo Exhibit,Falafel Restaurant,Fried Chicken Joint,French Restaurant,Football Stadium,Food Court
Neuallermöhe,53.4830602,10.1630488,,4,Food & Drink,Athletics & Sports,Zoo Exhibit,Falafel Restaurant,Fried Chicken Joint,French Restaurant,Football Stadium,Food Court,Food & Drink Shop,Food,Flower Shop
Neuenfelde,53.5182412,9.8079161,,3,German Restaurants & Zoo,Sports Club,German Restaurant,Taverna,Falafel Restaurant,French Restaurant,Football Stadium,Food Court,Food & Drink Shop,Food,Flower Shop
Neuengamme,53.4379045,10.2260934,,4,Food & Drink,Gastropub,History Museum,Zoo Exhibit,Falafel Restaurant,French Restaurant,Football Stadium,Food Court,Food & Drink Shop,Food,Flower Shop
Neugraben-Fischbek,53.4739581,9.8426482,9.59,4,Food & Drink,Insurance Office,Hardware Store,Gas Station,Supermarket,Fast Food Restaurant,Greek Restaurant,Bakery,Soccer Field,Pet Store,Dive Bar
Neuland,53.4672,10.0297,,4,Food & Drink,Coffee Shop,Zoo Exhibit,Falafel Restaurant,Fried Chicken Joint,French Restaurant,Football Stadium,Food Court,Food & Drink Shop,Food,Flower Shop
Neustadt,53.5498808,9.9790482,16.37,4,Food & Drink,Café,Hotel,Italian Restaurant,Seafood Restaurant,Restaurant,Portuguese Restaurant,German Restaurant,Ice Cream Shop,French Restaurant,Bookstore
Niendorf,53.6284111,9.9557091,11.92,1,Supermarkets,Jewelry Store,Supermarket,Bakery,Italian Restaurant,Asian Restaurant,Fast Food Restaurant,Fish & Chips Shop,Fish Market,Flower Shop,Food
Nienstedten,53.5524166,9.8443521,16.49,4,Food & Drink,Wine Bar,Ice Cream Shop,Hotel,Pharmacy,Convenience Store,Seafood Restaurant,Park,Trail,Zoo Exhibit,Fish & Chips Shop
Ochsenwerder,53.4752031,10.0810767,11.23,4,Food & Drink,Bakery,Bus Stop,Hotel,German Restaurant,Falafel Restaurant,French Restaurant,Football Stadium,Food Court,Food & Drink Shop,Food
Ohlsdorf,53.6215437,10.0377601,11.42,4,Food & Drink,Bakery,Café,Restaurant,Snack Place,Hotel,Pool,Convenience Store,Fish & Chips Shop,Farm,Farmers Market
Osdorf,53.5738475,9.8602253,12.84,4,Food & Drink,Clothing Store,Supermarket,Mobile Phone Shop,Optical Shop,Coffee Shop,Electronics Store,Seafood Restaurant,Salad Place,Drugstore,Bus Stop
Othmarschen,53.5550626,9.8878602,15.21,4,Food & Drink,Garden,Bus Stop,Burger Joint,Light Rail Station,Dim Sum Restaurant,Fast Food Restaurant,Fried Chicken Joint,Design Studio,French Restaurant,Football Stadium
Ottensen,53.5550658,9.9198188,14.42,4,Food & Drink,Café,French Restaurant,Asian Restaurant,Greek Restaurant,Grocery Store,Restaurant,Bakery,Church,Bus Stop,Taverna
Poppenbüttel,53.6564,10.0742,11.89,2,Outdoor & Recreation,Bus Stop,Zoo Exhibit,Dance Studio,Fried Chicken Joint,French Restaurant,Football Stadium,Food Court,Food & Drink Shop,Food,Flower Shop
Rahlstedt,53.6038827,10.1581547,11.2,4,Food & Drink,Bakery,Fast Food Restaurant,Drugstore,Train Station,Bus Station,German Restaurant,Farmers Market,Restaurant,Gym,Clothing Store
Reitbrook,53.4688446,10.1521229,,4,Food & Drink,Lake,Zoo Exhibit,Falafel Restaurant,Fried Chicken Joint,French Restaurant,Football Stadium,Food Court,Food & Drink Shop,Food,Flower Shop
Rissen,53.5847,9.75639,11.57,1,Supermarkets,Supermarket,Ice Cream Shop,Bakery,Pizza Place,Bank,Drugstore,Park,Pharmacy,Light Rail Station,Food
Rönneburg,53.4367554,10.0090562,10.66,2,Outdoor & Recreation,Bus Stop,Greek Restaurant,Zoo Exhibit,Fruit & Vegetable Store,French Restaurant,Football Stadium,Food Court,Food & Drink Shop,Food,Flower Shop
Rothenburgsort,53.5355872,10.0369161,10.7,4,Food & Drink,Supermarket,Bank,Doner Restaurant,Golf Course,German Restaurant,Restaurant,Fast Food Restaurant,Park,Bus Stop,Pharmacy
Rotherbaum,53.5684065,9.9874317,16.87,4,Food & Drink,Café,Italian Restaurant,Bakery,Coffee Shop,Mediterranean Restaurant,Electronics Store,Hotel,Sushi Restaurant,Falafel Restaurant,Farmers Market
Sasel,53.6522,10.1169,11.88,1,Supermarkets,Wine Shop,Bus Stop,Bakery,Food,Supermarket,Asian Restaurant,Farmers Market,Football Stadium,Food Court,Farm
Schnelsen,53.6374003,9.9188308,10.81,1,Supermarkets,Steakhouse,Supermarket,Shopping Mall,Fish & Chips Shop,Bakery,Zoo Exhibit,Farm,French Restaurant,Football Stadium,Food Court
Sinstorf,53.4245599,9.9772033,10.06,4,Food & Drink,Garden,Bus Stop,Automotive Shop,Fast Food Restaurant,Farm,Fried Chicken Joint,French Restaurant,Football Stadium,Food Court,Food & Drink Shop
Spadenland,53.4814,10.0664,,3,German Restaurants & Zoo,German Restaurant,Zoo Exhibit,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Football Stadium,Food Court,Food & Drink Shop,Food,Flower Shop
St.Georg,53.5569933,10.0141623,16.36,4,Food & Drink,Hotel,Italian Restaurant,Indian Restaurant,Restaurant,Café,Burger Joint,French Restaurant,German Restaurant,Halal Restaurant,Thai Restaurant
St.Pauli,53.5539347,9.9594316,15.3,4,Food & Drink,Bar,Café,Pub,German Restaurant,Nightclub,Restaurant,Cocktail Bar,Rock Club,Vietnamese Restaurant,Convenience Store
Steilshoop,53.6106843,10.058728,10.6,1,Supermarkets,Supermarket,Gym / Fitness Center,Shopping Mall,Bus Stop,Track,Zoo Exhibit,Football Stadium,Food Court,Food & Drink Shop,Food
Steinwerder,53.5393237,9.9615407,,4,Food & Drink,Harbor / Marina,Plaza,Cruise,Fair,French Restaurant,Football Stadium,Food Court,Food & Drink Shop,Food,Flower Shop
Stellingen,53.5967771,9.9284099,14.22,2,Outdoor & Recreation,Bus Stop,Zoo Exhibit,Gym / Fitness Center,Intersection,Electronics Store,Lounge,French Restaurant,Football Stadium,Food Court,Food & Drink Shop
Sternschanze,53.5617679,9.9632822,13.87,4,Food & Drink,Bar,Coffee Shop,Café,Clothing Store,Cocktail Bar,Restaurant,Falafel Restaurant,Gastropub,Optical Shop,Bookstore
Sülldorf,53.5814103,9.7963373,13.2,1,Supermarkets,Supermarket,Asian Restaurant,Organic Grocery,College Arts Building,Light Rail Station,Farm,Food & Drink Shop,Food,Food Court,Flower Shop
Tatenberg,53.4936,10.0797,,4,Food & Drink,Deli / Bodega,Boat or Ferry,German Restaurant,Café,Farmers Market,Fried Chicken Joint,French Restaurant,Football Stadium,Food Court,Food & Drink Shop
Tonndorf,53.5869,10.1175,10.18,1,Supermarkets,Supermarket,Café,Beach,Automotive Shop,Bus Stop,Train Station,Flower Shop,Fish & Chips Shop,Fish Market,Zoo Exhibit
Uhlenhorst,53.5715093,10.0127361,17.0,4,Food & Drink,Café,Italian Restaurant,Pizza Place,Harbor / Marina,Scenic Lookout,Supermarket,River,Cocktail Bar,Gym / Fitness Center,Bank
Veddel,53.5278014,10.0217136,8.93,1,Supermarkets,Hotel,Supermarket,Seafood Restaurant,Electronics Store,Zoo Exhibit,Falafel Restaurant,Football Stadium,Food Court,Food & Drink Shop,Food
Volksdorf,53.6485554,10.1647514,11.92,4,Food & Drink,Gas Station,Indie Movie Theater,Toy / Game Store,Pool,Doner Restaurant,Organic Grocery,Farmers Market,Fast Food Restaurant,Shopping Mall,Brazilian Restaurant
Wandsbek,53.5760029,10.0755348,12.44,4,Food & Drink,Sushi Restaurant,Chinese Restaurant,Spa,Juice Bar,German Restaurant,Racetrack,Electronics Store,Tennis Court,Drugstore,Bar
Wellingsbüttel,53.6431,10.0897,13.06,4,Food & Drink,Restaurant,Liquor Store,Zoo Exhibit,Falafel Restaurant,French Restaurant,Football Stadium,Food Court,Food & Drink Shop,Food,Flower Shop
Wilhelmsburg,53.4922921,9.9962167,10.56,4,Food & Drink,German Restaurant,Bistro,Athletics & Sports,Beer Bar,Zoo Exhibit,Farmers Market,Fried Chicken Joint,French Restaurant,Football Stadium,Food Court
Wilstorf,53.4455855,9.9816167,9.8,3,German Restaurants & Zoo,Water Park,German Restaurant,Lake,Zoo Exhibit,Falafel Restaurant,French Restaurant,Football Stadium,Food Court,Food & Drink Shop,Food
Winterhude,53.5963901,10.0038317,16.17,4,Food & Drink,Italian Restaurant,Café,Trattoria/Osteria,Vietnamese Restaurant,Drugstore,Korean Restaurant,Greek Restaurant,Shipping Store,Candy Store,Planetarium
Wohldorf-Ohlstedt,53.7019,10.1306,10.47,0,Memorials,Memorial Site,Zoo Exhibit,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Football Stadium,Food Court,Food & Drink Shop,Food,Flower Shop
